Record_ID,Date,Time,Frequency,Pin,Diameter corr.
61,22.07.2024,09:10:59,10kHz,No,None 

,Susceptibility[10-3SI],,Trigger data
1,0.0613,,0
2,0.1602,,0
3,0.2794,,0
4,0.3616,,0
5,0.2740,,0
6,0.2240,,0
7,0.1269,,0
8,0.0724,,0
9,0.0598,,0
10,0.1381,,0
11,0.1394,,0
12,0.1512,,0
13,0.1726,,0
14,0.3614,,0
15,0.3898,,0
16,0.3927,,0
17,0.3058,,0
18,0.2955,,0
19,0.2500,,0
20,0.1890,,0
21,0.1371,,0
22,0.1252,,0
23,0.2361,,0
24,0.4086,,0
25,0.4538,,0
26,0.4194,,0
27,0.3095,,0
28,0.2463,,0
29,0.1629,,0
30,0.0773,,0
31,0.0417,,0
32,0.0219,,0
33,0.0233,,0
34,0.0627,,0
35,0.0832,,0
36,0.0466,,0
37,0.0000,,0
38,0.0000,,0
39,0.0029,,0
40,0.0000,,0
41,0.0000,,0
42,0.0000,,0
43,0.0000,,0
44,0.0021,,0
45,0.0070,,0
46,0.0000,,0
47,0.0000,,0
48,0.0016,,0
49,0.0027,,0

,Min,Max,Avg
Kappa[10-3SI],0,0.45377,0.148508,
Sigma[Ohm.m],0,7.39227e+31,nan,
