Record_Id,Date,Time,Measurement Type,Diameter correction,Density,Picture,Voice note,Latitude,Longitude,Altitude,Text Note
19,16.07.2024,09:58:45,Scanner 10 kHz ,None,,,,,,,
20,16.07.2024,10:00:3,Scanner 10 kHz ,None,,,,,,,
21,16.07.2024,10:00:43,Scanner 10 kHz ,None,,,,,,,
22,16.07.2024,10:01:9,Scanner 10 kHz ,None,,,,,,,
23,16.07.2024,10:02:52,Discrete 10 kHz ,None,,,,,,,
24,16.07.2024,10:04:10,Discrete 10 kHz ,None,,,,,,,
25,16.07.2024,10:04:56,Discrete 10 kHz ,None,,,,,,,
26,16.07.2024,10:05:23,Discrete 10 kHz ,None,,,,,,,
27,16.07.2024,10:06:0,Discrete 10 kHz ,None,,,,,,,
28,16.07.2024,10:06:37,Discrete 10 kHz ,None,,,,,,,
29,16.07.2024,10:07:11,Discrete 10 kHz ,None,,,,,,,
30,16.07.2024,10:07:50,Discrete 10 kHz ,None,,,,,,,
31,16.07.2024,10:08:17,Discrete 10 kHz ,None,,,,,,,
32,16.07.2024,10:08:43,Discrete 10 kHz ,None,,,,,,,
33,16.07.2024,10:09:11,Discrete 10 kHz ,None,,,,,,,
34,16.07.2024,14:03:41,Scanner 10 kHz ,None,,,,,,,
35,16.07.2024,14:04:12,Scanner 10 kHz ,None,,,,,,,
36,16.07.2024,14:04:33,Scanner 10 kHz ,None,,,,,,,
37,16.07.2024,14:04:55,Scanner 10 kHz ,None,,,,,,,
38,16.07.2024,14:05:23,Scanner 10 kHz ,None,,,,,,,
39,16.07.2024,14:06:53,Discrete 10 kHz ,None,,,,,,,
40,16.07.2024,14:07:44,Discrete 10 kHz ,None,,,,,,,
41,16.07.2024,14:08:6,Discrete 10 kHz ,None,,,,,,,
42,16.07.2024,14:09:12,Discrete 10 kHz ,None,,,,,,,
43,16.07.2024,14:09:51,Discrete 10 kHz ,None,,,,,,,
44,16.07.2024,14:10:12,Discrete 10 kHz ,None,,,,,,,
45,16.07.2024,14:10:30,Discrete 10 kHz ,None,,,,,,,
46,16.07.2024,14:10:57,Discrete 10 kHz ,None,,,,,,,
