ugams,sample_id,material,d13C_ppm,ybp_14C,error_14C,pMC,error_pmc,trench,depth,ybp_cal
73631,KKPP24_1_10,sediment,-24.83,1120,20.0,86.95,0.21,1,10,-1013
73632,KKPP24_1_50,sediment,-26.35,4340,25.0,58.27,0.17,1,50,-4906
73633,KKPP24_1_100,sediment,-26.63,3090,20.0,68.1,0.18,1,100,-3302
73634,KKPP24_2_10,sediment,-23.75,1530,20.0,82.67,0.21,2,10,-1400
73635,KKPP24_2_40,sediment,-27.13,4130,20.0,59.78,0.17,2,40,-4681
73636,KKPP24_2_80,sediment,-28.43,7880,30.0,37.5,0.13,2,80,-8687
73637,KKPP24_3_10,sediment,-19.71,950,20.0,88.87,0.21,3,10,-850
73638,KKPP24_3_50,sediment,-23.85,2000,20.0,77.92,0.19,3,50,-1938
73639,KKPP24_3_90,sediment,-25.43,3850,20.0,61.9,0.17,3,90,-4266
73640,KKPP24_4_10,sediment,-22.02,490,20.0,94.13,0.23,4,10,-521
73641,KKPP24_4_50,sediment,-25.06,2820,30.0,70.39,0.28,4,50,-2922
73642,KKPP24_4_90,sediment,-27.94,8290,20.0,35.64,0.12,4,90,-9304
73643,KKPP24_5_10,sediment,-23.08,0,20.0,120.11,0.33,5,10,-117
73644,KKPP24_5_40,sediment,-24.72,3050,20.0,68.43,0.18,5,40,-3269
73645,KKPP24_5_60,sediment,-25.05,4110,25.0,59.93,0.18,5,60,-4652
73646,KKPP24_6_10,sediment,-22.25,950,20.0,88.83,0.23,6,10,-850
73647,KKPP24_6_60,sediment,-25.85,2370,20.0,74.41,0.19,6,60,-2382
73648,KKPP24_6_120,sediment,-25.07,6510,35.0,44.46,0.19,6,120,-7406
73649,KKPP24_7_10,sediment,-19.97,550,20.0,93.42,0.23,7,10,-563
73650,KKPP24_7_50,sediment,-24.0,3250,20.0,66.75,0.19,7,50,-3456
73651,KKPP24_7_80,sediment,-24.11,3420,20.0,65.34,0.18,7,80,-3665
73652,KKPP24_8_10,sediment,-20.53,960,20.0,88.74,0.23,8,10,-853
73653,KKPP24_8_40,sediment,-22.83,2020,20.0,77.76,0.19,8,40,-1958
73654,KKPP24_8_70,sediment,-27.04,8600,20.0,34.28,0.14,8,70,-9548
73655,KKPP24_4_70,charcoal,-26.84,1180,20.0,86.32,0.21,4,70,-1104
73656,KKPP24_7_70,charcoal,-26.93,1140,20.0,86.76,0.21,7,70,-1028
73657,KKPP24_8_30,charcoal,-28.55,270,20.0,96.66,0.25,8,30,-332
73658,KKPP24_7_60,charcoal,-25.63,1230,20.0,85.78,0.2,7,60,-1154
73659,KKPP24_7_40,charcoal,-28.72,1210,20.0,86.04,0.22,7,40,-1125
73660,KKPP24_6_80,charcoal,-23.13,1270,25.0,85.37,0.26,6,80,-1219
73661,KKPP24_7_70a,charcoal,-27.29,1210,20.0,85.99,0.21,7,70,-1125
73662,KKPP24_3_10,charcoal,-28.2,860,20.0,89.88,0.22,3,10,-756
73663,KKPP24_5_50,charcoal,-26.62,1240,20.0,85.65,0.24,5,50,-1178
73664,KKPP24_3_60,charcoal,-26.16,870,20.0,89.69,0.21,3,60,-764
73665,KKPP24_3_68,charcoal,-26.7,940,20.0,88.94,0.23,3,68,-849
73666,KKPP24_2_10,charcoal,-29.62,0,119.43,0.27,,2,10,-147
73667,KKPP24_6_10,charcoal,-25.8,100,20.0,98.76,0.24,6,10,-128
73668,KKPP24_5_30,charcoal,-25.49,1130,20.0,86.85,0.21,5,30,-1018
