,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_mag_t[0],-0.38,0.398,-1.13,0.355,0.01,0.009,1590.0,1398.0,1.0
a_mag_t[1],-0.377,0.382,-1.065,0.374,0.009,0.01,1662.0,1396.0,1.0
a_mag_t[2],-0.182,0.481,-1.126,0.683,0.011,0.012,1810.0,1337.0,1.0
a_mag_t[3],0.114,0.417,-0.68,0.896,0.009,0.01,2006.0,1585.0,1.0
a_mag_t[4],0.202,0.462,-0.719,1.065,0.01,0.011,2154.0,1320.0,1.0
a_mag_t[5],-0.18,0.435,-0.966,0.697,0.01,0.01,1825.0,1390.0,1.0
a_mag_t[6],0.01,0.548,-1.138,0.938,0.014,0.012,1448.0,1489.0,1.0
a_mag_t[7],0.077,0.359,-0.584,0.771,0.008,0.008,1850.0,1533.0,1.0
log_b_mag_mu,0.332,0.206,-0.03,0.722,0.007,0.004,804.0,1309.0,1.01
eps_log_b_mag_t[0],-0.233,0.898,-1.981,1.377,0.014,0.02,4166.0,1535.0,1.0
eps_log_b_mag_t[1],0.085,0.958,-1.83,1.729,0.015,0.025,4275.0,1331.0,1.0
eps_log_b_mag_t[2],0.126,0.952,-1.641,1.847,0.015,0.026,3947.0,1488.0,1.0
eps_log_b_mag_t[3],0.277,0.931,-1.638,1.94,0.016,0.022,3352.0,1605.0,1.0
eps_log_b_mag_t[4],-0.163,0.982,-2.03,1.614,0.014,0.022,4754.0,1442.0,1.0
eps_log_b_mag_t[5],0.002,0.933,-1.719,1.687,0.014,0.023,4637.0,1244.0,1.0
eps_log_b_mag_t[6],0.08,0.949,-1.714,1.791,0.016,0.027,3725.0,1344.0,1.01
eps_log_b_mag_t[7],-0.099,0.964,-1.92,1.763,0.015,0.032,4120.0,1307.0,1.02
a_t[0],2.016,0.467,1.11,2.854,0.011,0.009,1740.0,1748.0,1.0
a_t[1],1.181,0.464,0.28,2.027,0.011,0.01,1803.0,1529.0,1.0
a_t[2],1.902,0.494,0.935,2.779,0.012,0.012,1869.0,1440.0,1.0
a_t[3],1.787,0.423,1.037,2.65,0.009,0.01,2096.0,1296.0,1.0
a_t[4],1.12,0.597,-0.096,2.177,0.014,0.014,1934.0,1374.0,1.0
a_t[5],0.997,0.494,0.048,1.881,0.012,0.01,1822.0,1480.0,1.0
a_t[6],1.822,0.548,0.826,2.88,0.014,0.011,1571.0,1639.0,1.0
a_t[7],0.296,0.478,-0.555,1.249,0.01,0.008,2247.0,1685.0,1.0
log_b_mu,0.16,0.211,-0.238,0.56,0.006,0.004,1223.0,1685.0,1.0
eps_log_b_t[0],0.31,0.967,-1.472,2.049,0.014,0.022,4873.0,1326.0,1.0
eps_log_b_t[1],-0.025,0.944,-1.717,1.821,0.013,0.028,5331.0,1175.0,1.01
eps_log_b_t[2],-0.114,0.931,-1.831,1.689,0.013,0.026,5312.0,1327.0,1.0
eps_log_b_t[3],-0.21,0.922,-1.862,1.558,0.013,0.026,4850.0,1380.0,1.0
eps_log_b_t[4],0.269,0.972,-1.619,2.092,0.015,0.03,4152.0,1265.0,1.0
eps_log_b_t[5],0.02,0.918,-1.787,1.722,0.013,0.023,5341.0,1485.0,1.0
eps_log_b_t[6],-0.037,0.965,-1.801,1.786,0.015,0.027,4212.0,1399.0,1.0
eps_log_b_t[7],0.056,0.931,-1.624,1.794,0.014,0.024,4356.0,1398.0,1.0
I_0_hsgp_coeffs[0],0.212,0.949,-1.597,1.945,0.018,0.02,2752.0,1594.0,1.0
I_0_hsgp_coeffs[1],-0.634,0.989,-2.494,1.161,0.015,0.027,4166.0,1167.0,1.01
I_0_hsgp_coeffs[2],-0.373,0.971,-2.119,1.492,0.016,0.023,3731.0,1356.0,1.0
I_0_hsgp_coeffs[3],0.941,0.852,-0.73,2.389,0.014,0.03,3996.0,1196.0,1.0
I_0_hsgp_coeffs[4],0.544,0.936,-1.171,2.355,0.014,0.023,4500.0,1356.0,1.0
I_0_hsgp_coeffs[5],-0.81,0.83,-2.422,0.724,0.013,0.021,4275.0,1328.0,1.0
I_0_hsgp_coeffs[6],-0.573,0.842,-2.244,0.9,0.015,0.022,3090.0,1361.0,1.0
I_0_hsgp_coeffs[7],0.301,0.877,-1.345,1.915,0.011,0.023,5761.0,1369.0,1.01
I_0_hsgp_coeffs[8],0.39,0.821,-1.036,2.015,0.013,0.021,3819.0,1354.0,1.0
I_0_hsgp_coeffs[9],0.299,0.872,-1.333,1.949,0.013,0.024,4468.0,1306.0,1.0
I_0_hsgp_coeffs[10],-0.055,0.841,-1.616,1.531,0.013,0.02,4348.0,1519.0,1.0
I_0_hsgp_coeffs[11],-0.757,0.845,-2.225,0.942,0.013,0.021,4168.0,1539.0,1.0
I_0_hsgp_coeffs[12],-0.169,0.854,-1.804,1.371,0.014,0.02,3780.0,1383.0,1.0
I_0_hsgp_coeffs[13],0.934,0.86,-0.547,2.602,0.015,0.023,3319.0,1311.0,1.0
I_0_hsgp_coeffs[14],0.217,0.844,-1.169,1.898,0.012,0.021,4722.0,1240.0,1.0
I_0_hsgp_coeffs[15],-0.817,0.914,-2.575,0.888,0.016,0.023,3253.0,1423.0,1.0
I_0_hsgp_coeffs[16],-0.089,0.873,-1.537,1.729,0.011,0.02,6269.0,1668.0,1.0
I_0_hsgp_coeffs[17],0.472,0.864,-1.049,2.288,0.014,0.024,3790.0,1304.0,1.0
I_0_hsgp_coeffs[18],-0.087,0.9,-1.728,1.537,0.013,0.023,4476.0,1232.0,1.0
I_0_hsgp_coeffs[19],-0.036,0.841,-1.55,1.559,0.013,0.02,4466.0,1583.0,1.0
I_0_hsgp_coeffs[20],0.18,0.877,-1.442,1.813,0.014,0.024,4095.0,1305.0,1.0
I_0_hsgp_coeffs[21],-0.319,0.833,-1.695,1.365,0.012,0.029,4895.0,1412.0,1.01
I_0_hsgp_coeffs[22],-0.045,0.834,-1.66,1.379,0.013,0.021,4159.0,1432.0,1.0
I_0_hsgp_coeffs[23],0.628,0.9,-1.097,2.282,0.018,0.025,2522.0,1297.0,1.0
I_0_hsgp_coeffs[24],-0.199,0.828,-1.641,1.409,0.013,0.02,4080.0,1436.0,1.0
I_0_hsgp_coeffs[25],-0.777,0.887,-2.461,0.815,0.017,0.023,2835.0,1273.0,1.0
I_0_hsgp_coeffs[26],0.43,0.838,-1.181,1.938,0.014,0.022,3711.0,1343.0,1.01
I_0_hsgp_coeffs[27],0.82,0.851,-0.77,2.409,0.013,0.025,4023.0,1585.0,1.0
I_0_hsgp_coeffs[28],-0.47,0.84,-2.061,1.077,0.013,0.022,3945.0,1401.0,1.0
I_0_hsgp_coeffs[29],-0.663,0.877,-2.386,0.852,0.014,0.02,4085.0,1479.0,1.0
I_0_hsgp_coeffs[30],0.388,0.816,-1.096,1.89,0.014,0.019,3337.0,1460.0,1.0
I_0_hsgp_coeffs[31],0.337,0.842,-1.169,1.95,0.012,0.021,4883.0,1450.0,1.0
I_0_hsgp_coeffs[32],-0.291,0.898,-1.956,1.375,0.016,0.019,3153.0,1637.0,1.0
I_0_hsgp_coeffs[33],-0.024,0.837,-1.5,1.603,0.014,0.022,3581.0,1334.0,1.0
I_0_hsgp_coeffs[34],0.307,0.896,-1.311,2.079,0.018,0.022,2402.0,1259.0,1.0
I_0_hsgp_coeffs[35],-0.224,0.824,-1.795,1.218,0.015,0.019,3134.0,1492.0,1.0
I_0_hsgp_coeffs[36],-0.463,0.84,-2.091,1.021,0.014,0.022,3675.0,1426.0,1.0
I_0_hsgp_coeffs[37],0.228,0.804,-1.32,1.693,0.013,0.021,4129.0,1225.0,1.0
I_0_hsgp_coeffs[38],0.545,0.845,-1.1,2.037,0.013,0.025,4054.0,1099.0,1.0
I_0_hsgp_coeffs[39],-0.017,0.867,-1.617,1.561,0.014,0.021,4055.0,1522.0,1.0
I_0_hsgp_coeffs[40],-0.401,0.859,-2.032,1.223,0.015,0.03,3527.0,911.0,1.0
I_0_hsgp_coeffs[41],-0.283,0.831,-1.727,1.396,0.013,0.022,3913.0,1494.0,1.0
I_0_hsgp_coeffs[42],-0.023,0.81,-1.521,1.463,0.012,0.02,4343.0,1525.0,1.0
I_0_hsgp_coeffs[43],0.457,0.853,-1.069,2.105,0.013,0.021,4069.0,1526.0,1.0
I_0_hsgp_coeffs[44],0.407,0.866,-1.183,2.007,0.016,0.024,3022.0,1402.0,1.0
I_0_hsgp_coeffs[45],-0.27,0.825,-1.878,1.179,0.013,0.022,3853.0,1520.0,1.0
I_0_hsgp_coeffs[46],-0.087,0.874,-1.571,1.688,0.021,0.018,1694.0,1574.0,1.0
I_0_hsgp_coeffs[47],-0.307,0.853,-2.009,1.157,0.013,0.023,4532.0,1369.0,1.0
I_0_hsgp_coeffs[48],-1.609,0.614,-2.708,-0.388,0.01,0.014,3718.0,1606.0,1.0
I_0_hsgp_coeffs[49],1.011,0.697,-0.207,2.35,0.013,0.02,3063.0,1297.0,1.0
I_1_hsgp_coeffs[0],-0.002,0.923,-1.59,1.811,0.017,0.017,2906.0,1720.0,1.0
I_1_hsgp_coeffs[1],0.507,0.963,-1.264,2.354,0.014,0.038,4668.0,1148.0,1.0
I_1_hsgp_coeffs[2],-0.249,0.942,-2.072,1.503,0.017,0.026,3084.0,1393.0,1.0
I_1_hsgp_coeffs[3],-0.862,0.865,-2.483,0.708,0.014,0.02,3677.0,1452.0,1.0
I_1_hsgp_coeffs[4],0.534,0.941,-1.197,2.321,0.014,0.028,4684.0,1458.0,1.0
I_1_hsgp_coeffs[5],0.942,0.86,-0.755,2.474,0.016,0.021,2923.0,1654.0,1.0
I_1_hsgp_coeffs[6],-0.695,0.844,-2.277,0.929,0.014,0.022,3644.0,1247.0,1.0
I_1_hsgp_coeffs[7],-0.75,0.933,-2.458,0.97,0.016,0.026,3456.0,1306.0,1.0
I_1_hsgp_coeffs[8],0.644,0.873,-0.996,2.269,0.013,0.023,4610.0,1398.0,1.0
I_1_hsgp_coeffs[9],0.519,0.883,-1.031,2.325,0.014,0.025,4153.0,1285.0,1.0
I_1_hsgp_coeffs[10],-0.347,0.862,-1.847,1.341,0.014,0.02,3567.0,1363.0,1.0
I_1_hsgp_coeffs[11],-0.189,0.828,-1.693,1.4,0.013,0.023,4107.0,1401.0,1.0
I_1_hsgp_coeffs[12],0.032,0.929,-1.606,1.839,0.014,0.026,4720.0,1414.0,1.0
I_1_hsgp_coeffs[13],0.104,0.847,-1.509,1.639,0.012,0.02,5147.0,1556.0,1.0
I_1_hsgp_coeffs[14],0.24,0.868,-1.375,1.886,0.015,0.025,3536.0,1199.0,1.0
I_1_hsgp_coeffs[15],-0.163,0.86,-1.702,1.499,0.014,0.022,3855.0,1488.0,1.0
I_1_hsgp_coeffs[16],-0.28,0.884,-1.875,1.304,0.014,0.022,4040.0,1306.0,1.0
I_1_hsgp_coeffs[17],0.357,0.864,-1.231,2.048,0.012,0.025,4855.0,1278.0,1.0
I_1_hsgp_coeffs[18],0.13,0.866,-1.408,1.854,0.014,0.024,4091.0,1197.0,1.0
I_1_hsgp_coeffs[19],-0.538,0.891,-2.289,1.033,0.013,0.02,4748.0,1272.0,1.0
I_1_hsgp_coeffs[20],0.103,0.901,-1.552,1.812,0.013,0.024,5054.0,1399.0,1.0
I_1_hsgp_coeffs[21],0.657,0.864,-0.851,2.376,0.012,0.024,4881.0,1259.0,1.0
I_1_hsgp_coeffs[22],-0.232,0.873,-1.847,1.449,0.014,0.025,4039.0,1387.0,1.0
I_1_hsgp_coeffs[23],-0.609,0.892,-2.373,1.025,0.014,0.023,3901.0,1527.0,1.0
I_1_hsgp_coeffs[24],0.189,0.858,-1.334,1.864,0.014,0.025,3898.0,1380.0,1.0
I_1_hsgp_coeffs[25],0.389,0.864,-1.122,2.117,0.013,0.022,4626.0,1437.0,1.0
I_1_hsgp_coeffs[26],0.025,0.903,-1.786,1.65,0.015,0.025,3665.0,1113.0,1.0
I_1_hsgp_coeffs[27],-0.09,0.894,-1.709,1.499,0.014,0.022,3847.0,1270.0,1.0
I_1_hsgp_coeffs[28],-0.286,0.895,-1.947,1.4,0.012,0.023,5709.0,1241.0,1.01
I_1_hsgp_coeffs[29],-0.116,0.853,-1.654,1.506,0.014,0.021,3726.0,1179.0,1.0
I_1_hsgp_coeffs[30],0.488,0.879,-1.171,2.097,0.014,0.023,3795.0,1415.0,1.0
I_1_hsgp_coeffs[31],0.213,0.885,-1.352,1.867,0.014,0.021,4004.0,1486.0,1.0
I_1_hsgp_coeffs[32],-0.508,0.865,-2.151,1.056,0.014,0.02,3617.0,1508.0,1.0
I_1_hsgp_coeffs[33],-0.126,0.877,-1.629,1.579,0.015,0.025,3530.0,985.0,1.0
I_1_hsgp_coeffs[34],0.419,0.879,-1.124,2.156,0.014,0.023,4117.0,1388.0,1.0
I_1_hsgp_coeffs[35],-0.083,0.854,-1.572,1.63,0.013,0.021,4330.0,1296.0,1.01
I_1_hsgp_coeffs[36],-0.34,0.882,-1.844,1.58,0.015,0.024,3374.0,1307.0,1.0
I_1_hsgp_coeffs[37],0.226,0.885,-1.318,1.939,0.012,0.029,5171.0,1338.0,1.0
I_1_hsgp_coeffs[38],0.441,0.936,-1.272,2.212,0.017,0.028,2919.0,1094.0,1.0
I_1_hsgp_coeffs[39],-0.268,0.897,-2.011,1.383,0.014,0.023,4291.0,1418.0,1.0
I_1_hsgp_coeffs[40],-0.701,0.954,-2.7,0.905,0.019,0.025,2598.0,1257.0,1.0
I_1_hsgp_coeffs[41],0.11,0.869,-1.599,1.608,0.012,0.025,5485.0,1509.0,1.0
I_1_hsgp_coeffs[42],0.95,0.882,-0.821,2.495,0.014,0.021,4021.0,1376.0,1.0
I_1_hsgp_coeffs[43],0.142,0.885,-1.434,1.931,0.014,0.023,4199.0,1271.0,1.0
I_1_hsgp_coeffs[44],-0.859,0.9,-2.484,0.822,0.013,0.02,4555.0,1553.0,1.0
I_1_hsgp_coeffs[45],-0.331,0.874,-1.837,1.445,0.013,0.022,4472.0,1328.0,1.0
