,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_mag_t[0],-0.025,0.286,-0.582,0.511,0.005,0.005,2745.0,2791.0,1.0
a_mag_t[1],-0.192,0.428,-1.081,0.582,0.008,0.007,2953.0,2794.0,1.0
a_mag_t[2],-0.108,0.353,-0.774,0.556,0.008,0.008,2404.0,2019.0,1.0
a_mag_t[3],-0.2,0.377,-0.906,0.529,0.008,0.007,2235.0,2404.0,1.0
a_mag_t[4],-0.122,0.442,-0.976,0.731,0.009,0.008,2504.0,2255.0,1.0
a_mag_t[5],-0.154,0.361,-0.848,0.524,0.007,0.007,2493.0,2498.0,1.0
a_mag_t[6],-0.152,0.384,-0.853,0.592,0.009,0.01,2028.0,1915.0,1.0
a_mag_t[7],-0.124,0.401,-0.918,0.627,0.008,0.007,2383.0,2488.0,1.0
log_b_mag_mu,0.348,0.254,-0.12,0.831,0.007,0.005,1291.0,1409.0,1.0
eps_log_b_mag_t[0],-0.032,0.998,-1.905,1.798,0.013,0.016,6254.0,3059.0,1.0
eps_log_b_mag_t[1],-0.03,0.966,-1.976,1.671,0.013,0.017,5407.0,2628.0,1.0
eps_log_b_mag_t[2],0.185,0.97,-1.731,1.902,0.013,0.016,5675.0,3094.0,1.0
eps_log_b_mag_t[3],0.015,0.945,-1.715,1.814,0.012,0.014,5954.0,3363.0,1.0
eps_log_b_mag_t[4],-0.018,0.942,-1.858,1.697,0.013,0.016,5430.0,3138.0,1.0
eps_log_b_mag_t[5],0.174,0.983,-1.672,2.023,0.013,0.018,5860.0,2668.0,1.0
eps_log_b_mag_t[6],-0.059,0.967,-1.842,1.795,0.012,0.016,6052.0,3209.0,1.0
eps_log_b_mag_t[7],-0.164,0.949,-1.864,1.679,0.012,0.015,6103.0,2971.0,1.0
a_t[0],2.304,0.724,1.018,3.729,0.013,0.015,3884.0,2271.0,1.0
a_t[1],2.856,0.862,1.36,4.524,0.015,0.018,3690.0,2461.0,1.0
a_t[2],4.239,0.463,3.376,5.142,0.008,0.009,3738.0,2387.0,1.0
a_t[3],3.794,0.485,2.873,4.699,0.009,0.008,2947.0,2550.0,1.0
a_t[4],2.945,0.586,1.849,4.082,0.011,0.011,2981.0,2325.0,1.0
a_t[5],4.704,0.469,3.791,5.566,0.008,0.009,3733.0,2942.0,1.0
a_t[6],3.128,0.562,2.043,4.166,0.01,0.01,3150.0,2362.0,1.0
a_t[7],2.895,0.518,1.898,3.879,0.01,0.009,2894.0,2762.0,1.0
log_b_mu,-0.012,0.251,-0.479,0.468,0.004,0.004,3702.0,2786.0,1.0
eps_log_b_t[0],0.095,0.969,-1.732,1.899,0.012,0.016,6066.0,2266.0,1.0
eps_log_b_t[1],0.094,0.976,-1.678,1.924,0.012,0.017,6391.0,3393.0,1.0
eps_log_b_t[2],-0.248,0.995,-2.055,1.621,0.011,0.016,8185.0,3283.0,1.0
eps_log_b_t[3],0.001,0.958,-1.815,1.78,0.011,0.018,7230.0,3035.0,1.0
eps_log_b_t[4],-0.026,0.98,-1.999,1.738,0.012,0.018,7052.0,2885.0,1.0
eps_log_b_t[5],-0.09,0.973,-1.908,1.652,0.011,0.019,7217.0,2489.0,1.0
eps_log_b_t[6],-0.018,0.994,-1.811,1.878,0.013,0.017,6306.0,2785.0,1.0
eps_log_b_t[7],0.163,0.982,-1.8,1.836,0.012,0.016,6824.0,2903.0,1.0
I_0_hsgp_coeffs[0],0.011,0.969,-1.942,1.682,0.014,0.014,4613.0,3098.0,1.0
I_0_hsgp_coeffs[1],0.004,0.944,-1.729,1.819,0.013,0.015,5394.0,3191.0,1.0
I_0_hsgp_coeffs[2],-0.057,0.968,-1.748,1.871,0.014,0.017,4555.0,2438.0,1.0
I_0_hsgp_coeffs[3],0.055,0.853,-1.534,1.667,0.012,0.014,4796.0,2759.0,1.0
I_0_hsgp_coeffs[4],0.096,0.959,-1.621,1.917,0.013,0.017,5674.0,2579.0,1.0
I_0_hsgp_coeffs[5],-0.144,0.817,-1.67,1.406,0.012,0.013,4318.0,2846.0,1.0
I_0_hsgp_coeffs[6],-0.017,0.862,-1.681,1.495,0.012,0.014,5068.0,2818.0,1.0
I_0_hsgp_coeffs[7],0.265,0.843,-1.342,1.826,0.012,0.013,5356.0,3268.0,1.0
I_0_hsgp_coeffs[8],-0.264,0.838,-1.878,1.253,0.011,0.014,5691.0,2996.0,1.0
I_0_hsgp_coeffs[9],-0.3,0.878,-2.032,1.262,0.011,0.015,6062.0,2522.0,1.0
I_0_hsgp_coeffs[10],0.702,0.917,-0.992,2.453,0.012,0.015,5532.0,3264.0,1.0
I_0_hsgp_coeffs[11],0.234,0.846,-1.358,1.803,0.011,0.013,5540.0,3482.0,1.0
I_0_hsgp_coeffs[12],-1.076,0.896,-2.831,0.497,0.011,0.014,6078.0,2863.0,1.0
I_0_hsgp_coeffs[13],-0.096,0.851,-1.726,1.463,0.012,0.014,5171.0,3030.0,1.0
I_0_hsgp_coeffs[14],1.235,0.885,-0.432,2.854,0.013,0.015,4717.0,2520.0,1.0
I_0_hsgp_coeffs[15],-0.036,0.873,-1.604,1.686,0.012,0.014,5068.0,3087.0,1.0
I_0_hsgp_coeffs[16],-1.115,0.861,-2.763,0.408,0.012,0.013,5325.0,3223.0,1.0
I_0_hsgp_coeffs[17],0.128,0.85,-1.466,1.682,0.012,0.014,4935.0,2918.0,1.0
I_0_hsgp_coeffs[18],0.692,0.895,-0.952,2.37,0.012,0.013,5193.0,3331.0,1.0
I_0_hsgp_coeffs[19],-0.109,0.864,-1.71,1.563,0.013,0.015,4377.0,2703.0,1.0
I_0_hsgp_coeffs[20],-0.108,0.859,-1.749,1.447,0.012,0.013,5242.0,2927.0,1.0
I_0_hsgp_coeffs[21],-0.011,0.849,-1.572,1.585,0.012,0.014,4852.0,3164.0,1.0
I_0_hsgp_coeffs[22],-0.442,0.828,-2.067,1.01,0.012,0.013,4957.0,3116.0,1.0
I_0_hsgp_coeffs[23],0.121,0.86,-1.505,1.774,0.012,0.014,5335.0,3118.0,1.0
I_0_hsgp_coeffs[24],0.761,0.86,-0.857,2.36,0.013,0.014,4678.0,3093.0,1.0
I_0_hsgp_coeffs[25],-0.202,0.862,-1.813,1.395,0.011,0.015,6338.0,2914.0,1.0
I_0_hsgp_coeffs[26],-0.762,0.879,-2.394,0.874,0.013,0.014,4770.0,2987.0,1.0
I_0_hsgp_coeffs[27],0.101,0.857,-1.414,1.768,0.011,0.014,6274.0,2941.0,1.0
I_0_hsgp_coeffs[28],0.51,0.858,-1.084,2.144,0.012,0.014,5100.0,2713.0,1.0
I_0_hsgp_coeffs[29],-0.003,0.85,-1.726,1.496,0.012,0.013,5415.0,3060.0,1.0
I_0_hsgp_coeffs[30],-0.149,0.854,-1.646,1.541,0.012,0.013,5095.0,3486.0,1.0
I_0_hsgp_coeffs[31],-0.075,0.85,-1.76,1.467,0.012,0.014,5404.0,2753.0,1.0
I_0_hsgp_coeffs[32],-0.193,0.847,-1.789,1.382,0.012,0.014,4925.0,2875.0,1.0
I_0_hsgp_coeffs[33],0.14,0.84,-1.465,1.653,0.012,0.013,4936.0,3003.0,1.0
I_0_hsgp_coeffs[34],0.348,0.845,-1.214,1.929,0.012,0.013,4794.0,3143.0,1.0
I_0_hsgp_coeffs[35],-0.134,0.857,-1.682,1.586,0.012,0.015,5166.0,2870.0,1.0
I_0_hsgp_coeffs[36],-0.254,0.814,-1.76,1.265,0.01,0.013,6201.0,3107.0,1.0
I_0_hsgp_coeffs[37],0.153,0.874,-1.52,1.793,0.012,0.016,5690.0,2817.0,1.0
I_0_hsgp_coeffs[38],-0.058,0.832,-1.642,1.503,0.011,0.013,5359.0,3180.0,1.0
I_0_hsgp_coeffs[39],-0.241,0.836,-1.757,1.35,0.011,0.014,5585.0,3114.0,1.0
I_0_hsgp_coeffs[40],0.445,0.849,-1.149,2.009,0.012,0.013,5323.0,3366.0,1.0
I_0_hsgp_coeffs[41],0.402,0.857,-1.202,2.013,0.012,0.014,5151.0,2944.0,1.0
I_0_hsgp_coeffs[42],-0.709,0.853,-2.236,0.932,0.012,0.013,5137.0,3165.0,1.0
I_0_hsgp_coeffs[43],-0.441,0.84,-2.023,1.088,0.012,0.015,4829.0,2623.0,1.0
I_0_hsgp_coeffs[44],0.577,0.827,-0.998,2.103,0.012,0.013,5147.0,3219.0,1.0
