,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_mag_t[0],-0.02,0.287,-0.557,0.527,0.006,0.006,2631.0,2448.0,1.0
a_mag_t[1],-0.205,0.426,-1.052,0.603,0.008,0.008,2925.0,2527.0,1.0
a_mag_t[2],-0.07,0.345,-0.731,0.564,0.007,0.006,2188.0,2279.0,1.0
a_mag_t[3],-0.183,0.383,-0.885,0.587,0.007,0.007,2784.0,2454.0,1.0
a_mag_t[4],-0.123,0.465,-1.026,0.747,0.009,0.009,2805.0,2751.0,1.0
a_mag_t[5],-0.111,0.353,-0.764,0.575,0.007,0.008,2556.0,2182.0,1.0
a_mag_t[6],-0.129,0.371,-0.796,0.619,0.007,0.008,2911.0,2422.0,1.0
a_mag_t[7],-0.121,0.426,-0.903,0.714,0.007,0.008,3352.0,2803.0,1.0
log_b_mag_mu,0.38,0.306,-0.197,0.947,0.009,0.005,1145.0,1599.0,1.0
eps_log_b_mag_t[0],0.015,0.957,-1.689,1.858,0.012,0.015,6336.0,3246.0,1.0
eps_log_b_mag_t[1],0.018,0.96,-1.654,1.918,0.012,0.016,6405.0,2822.0,1.0
eps_log_b_mag_t[2],0.021,0.987,-1.9,1.76,0.013,0.017,5938.0,3007.0,1.0
eps_log_b_mag_t[3],0.022,0.99,-1.762,1.925,0.012,0.018,7236.0,2855.0,1.0
eps_log_b_mag_t[4],-0.024,0.966,-1.854,1.812,0.013,0.017,5320.0,2994.0,1.0
eps_log_b_mag_t[5],0.094,0.969,-1.757,1.888,0.013,0.016,5718.0,3259.0,1.0
eps_log_b_mag_t[6],-0.04,0.999,-2.036,1.688,0.014,0.016,5066.0,3131.0,1.0
eps_log_b_mag_t[7],-0.03,0.969,-1.993,1.649,0.012,0.015,6557.0,3122.0,1.0
I_0_hsgp_coeffs[0],-0.006,0.961,-1.852,1.761,0.014,0.015,4433.0,3272.0,1.0
I_0_hsgp_coeffs[1],-0.018,0.978,-1.768,1.846,0.013,0.017,5617.0,3127.0,1.0
I_0_hsgp_coeffs[2],-0.048,0.968,-1.893,1.774,0.014,0.015,4754.0,2989.0,1.0
I_0_hsgp_coeffs[3],0.042,0.841,-1.499,1.653,0.013,0.013,4434.0,2922.0,1.0
I_0_hsgp_coeffs[4],0.109,0.903,-1.584,1.808,0.012,0.015,5717.0,3116.0,1.0
I_0_hsgp_coeffs[5],-0.173,0.832,-1.643,1.495,0.012,0.014,4484.0,3047.0,1.0
I_0_hsgp_coeffs[6],-0.009,0.891,-1.601,1.698,0.011,0.015,6423.0,3359.0,1.0
I_0_hsgp_coeffs[7],0.243,0.856,-1.351,1.789,0.013,0.014,4604.0,3434.0,1.0
I_0_hsgp_coeffs[8],-0.296,0.852,-1.88,1.35,0.011,0.013,5929.0,3518.0,1.0
I_0_hsgp_coeffs[9],-0.295,0.875,-1.921,1.383,0.012,0.013,5095.0,3446.0,1.0
I_0_hsgp_coeffs[10],0.703,0.89,-1.089,2.267,0.012,0.015,5529.0,2898.0,1.0
I_0_hsgp_coeffs[11],0.254,0.854,-1.323,1.867,0.013,0.013,4028.0,2994.0,1.0
I_0_hsgp_coeffs[12],-1.069,0.895,-2.793,0.554,0.013,0.013,4800.0,3159.0,1.0
I_0_hsgp_coeffs[13],-0.111,0.858,-1.738,1.517,0.013,0.014,4583.0,3220.0,1.0
