,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_mag_t[0],0.04,0.297,-0.513,0.601,0.005,0.005,3621.0,2708.0,1.0
a_mag_t[1],-0.021,0.459,-0.818,0.974,0.009,0.009,2518.0,2209.0,1.0
a_mag_t[2],-0.092,0.348,-0.786,0.551,0.006,0.006,3431.0,2696.0,1.0
a_mag_t[3],-0.157,0.465,-1.066,0.665,0.007,0.008,3989.0,2945.0,1.0
a_mag_t[4],-0.035,0.363,-0.737,0.645,0.006,0.007,3435.0,2676.0,1.0
a_mag_t[5],0.048,0.339,-0.516,0.735,0.007,0.007,2588.0,2906.0,1.0
a_mag_t[6],0.019,0.409,-0.738,0.814,0.007,0.007,3329.0,2511.0,1.0
a_mag_t[7],-0.12,0.445,-1.072,0.618,0.008,0.01,3318.0,2593.0,1.0
log_b_mag_mu,0.493,0.258,0.019,0.985,0.006,0.004,1999.0,2023.0,1.0
eps_log_b_mag_t[0],-0.142,0.985,-1.899,1.772,0.01,0.017,9024.0,3072.0,1.0
eps_log_b_mag_t[1],-0.059,0.946,-1.907,1.59,0.01,0.015,8451.0,3054.0,1.0
eps_log_b_mag_t[2],0.001,0.979,-1.835,1.861,0.011,0.017,7987.0,3034.0,1.0
eps_log_b_mag_t[3],0.278,0.954,-1.532,2.047,0.011,0.015,7540.0,3309.0,1.0
eps_log_b_mag_t[4],-0.146,0.973,-1.997,1.685,0.012,0.019,6939.0,2885.0,1.0
eps_log_b_mag_t[5],0.098,0.946,-1.622,1.912,0.012,0.016,6450.0,3167.0,1.0
eps_log_b_mag_t[6],-0.032,0.96,-1.721,1.829,0.011,0.016,7754.0,3027.0,1.0
eps_log_b_mag_t[7],0.129,0.974,-1.606,2.04,0.011,0.018,7796.0,2905.0,1.0
a_t[0],2.698,0.503,1.784,3.653,0.008,0.012,4050.0,2827.0,1.0
a_t[1],3.704,0.405,2.932,4.448,0.007,0.007,3273.0,2550.0,1.0
a_t[2],3.723,0.389,3.028,4.48,0.006,0.007,4115.0,3152.0,1.0
a_t[3],4.053,0.516,3.116,5.057,0.008,0.009,4823.0,3266.0,1.0
a_t[4],3.049,0.405,2.236,3.763,0.006,0.007,4243.0,2991.0,1.0
a_t[5],4.06,0.311,3.442,4.603,0.005,0.005,3900.0,3320.0,1.0
a_t[6],3.658,0.528,2.732,4.719,0.008,0.01,4536.0,2765.0,1.0
a_t[7],3.929,0.435,3.077,4.712,0.007,0.01,4167.0,2412.0,1.0
log_b_mu,-0.145,0.243,-0.618,0.301,0.004,0.003,4260.0,2856.0,1.0
eps_log_b_t[0],0.182,0.979,-1.738,1.887,0.01,0.017,10181.0,3073.0,1.0
eps_log_b_t[1],-0.006,0.947,-1.717,1.825,0.01,0.019,8520.0,2832.0,1.0
eps_log_b_t[2],0.112,0.966,-1.713,1.89,0.01,0.021,9149.0,2549.0,1.0
eps_log_b_t[3],-0.437,0.962,-2.32,1.268,0.012,0.016,6717.0,3054.0,1.0
eps_log_b_t[4],0.142,0.958,-1.707,1.834,0.01,0.016,9868.0,3103.0,1.0
eps_log_b_t[5],-0.119,0.92,-1.733,1.748,0.01,0.017,8182.0,2752.0,1.0
eps_log_b_t[6],0.063,0.991,-1.915,1.813,0.01,0.019,9045.0,2682.0,1.0
eps_log_b_t[7],-0.238,1.006,-2.113,1.641,0.01,0.018,10074.0,2844.0,1.0
I_0_hsgp_coeffs[0],0.019,0.986,-1.866,1.822,0.013,0.016,6102.0,2840.0,1.0
I_0_hsgp_coeffs[1],-0.272,0.932,-2.009,1.502,0.01,0.016,8792.0,3326.0,1.0
I_0_hsgp_coeffs[2],-0.087,0.963,-1.984,1.648,0.013,0.017,5861.0,2852.0,1.0
I_0_hsgp_coeffs[3],0.435,0.82,-1.032,2.082,0.01,0.015,6104.0,2828.0,1.0
I_0_hsgp_coeffs[4],0.165,0.968,-1.733,1.945,0.011,0.017,8366.0,2948.0,1.0
I_0_hsgp_coeffs[5],-0.441,0.818,-1.902,1.087,0.01,0.015,6595.0,2753.0,1.0
I_0_hsgp_coeffs[6],-0.204,0.864,-1.811,1.437,0.01,0.017,7939.0,2641.0,1.0
I_0_hsgp_coeffs[7],0.25,0.848,-1.27,1.927,0.01,0.015,7952.0,3058.0,1.0
I_0_hsgp_coeffs[8],0.228,0.834,-1.403,1.679,0.01,0.015,6610.0,2910.0,1.0
I_0_hsgp_coeffs[9],0.091,0.858,-1.469,1.722,0.01,0.017,7999.0,2658.0,1.0
I_0_hsgp_coeffs[10],-0.108,0.892,-1.777,1.578,0.009,0.016,9005.0,2863.0,1.0
I_0_hsgp_coeffs[11],-0.494,0.874,-2.199,1.063,0.011,0.015,6523.0,3003.0,1.0
I_0_hsgp_coeffs[12],-0.068,0.863,-1.7,1.538,0.01,0.015,7463.0,3092.0,1.0
I_0_hsgp_coeffs[13],0.871,0.872,-0.727,2.534,0.011,0.015,6588.0,2772.0,1.0
I_0_hsgp_coeffs[14],0.297,0.862,-1.255,1.927,0.009,0.015,8838.0,2924.0,1.0
I_0_hsgp_coeffs[15],-1.085,0.918,-2.961,0.503,0.011,0.016,7072.0,3141.0,1.0
I_0_hsgp_coeffs[16],-0.436,0.844,-2.06,1.06,0.009,0.013,8309.0,3200.0,1.0
I_0_hsgp_coeffs[17],1.049,0.875,-0.546,2.799,0.011,0.017,6041.0,2791.0,1.0
I_0_hsgp_coeffs[18],0.482,0.887,-1.153,2.236,0.011,0.017,6620.0,2533.0,1.0
I_0_hsgp_coeffs[19],-0.849,0.877,-2.524,0.756,0.011,0.014,6569.0,2958.0,1.0
I_0_hsgp_coeffs[20],-0.347,0.843,-1.961,1.182,0.01,0.013,6434.0,2956.0,1.0
I_0_hsgp_coeffs[21],0.438,0.888,-1.131,2.228,0.011,0.015,6675.0,3087.0,1.0
I_0_hsgp_coeffs[22],0.135,0.851,-1.395,1.782,0.01,0.015,7133.0,2883.0,1.0
I_0_hsgp_coeffs[23],-0.047,0.863,-1.637,1.578,0.01,0.016,7867.0,2686.0,1.0
I_0_hsgp_coeffs[24],0.074,0.842,-1.545,1.606,0.01,0.015,6576.0,2736.0,1.0
I_0_hsgp_coeffs[25],-0.289,0.858,-1.944,1.28,0.009,0.016,8342.0,2908.0,1.0
I_0_hsgp_coeffs[26],-0.162,0.853,-1.841,1.387,0.009,0.015,9121.0,2989.0,1.0
I_0_hsgp_coeffs[27],0.429,0.824,-1.098,1.951,0.01,0.014,6871.0,2938.0,1.0
I_0_hsgp_coeffs[28],0.038,0.842,-1.521,1.609,0.01,0.015,7249.0,2991.0,1.0
