,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_mag_t[0],-0.258,0.43,-1.077,0.523,0.009,0.012,2333.0,1125.0,1.0
a_mag_t[1],0.118,0.422,-0.745,0.904,0.008,0.012,2648.0,1323.0,1.0
a_mag_t[2],0.187,0.47,-0.735,1.053,0.01,0.013,2166.0,1435.0,1.0
a_mag_t[3],-0.2,0.595,-1.329,0.899,0.011,0.018,2842.0,1438.0,1.0
a_mag_t[4],-0.054,0.464,-0.974,0.765,0.011,0.013,1842.0,1329.0,1.0
a_mag_t[5],0.248,0.49,-0.649,1.223,0.009,0.013,2674.0,1577.0,1.0
a_mag_t[6],-0.18,0.502,-1.229,0.699,0.011,0.014,2270.0,1487.0,1.0
a_mag_t[7],-0.157,0.344,-0.8,0.493,0.007,0.01,2491.0,1322.0,1.0
log_b_mag_mu,0.542,0.293,0.031,1.112,0.009,0.007,1013.0,858.0,1.0
eps_log_b_mag_t[0],-0.006,0.917,-1.654,1.775,0.014,0.022,4070.0,1635.0,1.0
eps_log_b_mag_t[1],0.016,1.01,-1.779,2.053,0.015,0.026,4329.0,1478.0,1.0
eps_log_b_mag_t[2],0.024,0.981,-1.77,1.977,0.015,0.028,4516.0,1389.0,1.0
eps_log_b_mag_t[3],0.006,0.969,-1.973,1.682,0.015,0.022,4027.0,1324.0,1.0
eps_log_b_mag_t[4],-0.047,0.984,-1.919,1.747,0.016,0.022,3976.0,1580.0,1.0
eps_log_b_mag_t[5],0.001,0.946,-1.783,1.659,0.016,0.02,3498.0,1758.0,1.0
eps_log_b_mag_t[6],0.159,0.96,-1.715,1.857,0.017,0.022,3311.0,1486.0,1.0
eps_log_b_mag_t[7],-0.027,1.017,-1.969,1.861,0.016,0.024,4088.0,1480.0,1.0
I_0_hsgp_coeffs[0],-0.09,0.926,-1.812,1.646,0.015,0.02,3861.0,1532.0,1.0
I_0_hsgp_coeffs[1],-0.092,0.967,-1.865,1.764,0.017,0.029,3103.0,1197.0,1.0
I_0_hsgp_coeffs[2],-0.129,0.932,-1.77,1.682,0.014,0.022,4620.0,1571.0,1.0
I_0_hsgp_coeffs[3],0.184,0.809,-1.358,1.673,0.015,0.019,3029.0,1427.0,1.0
I_0_hsgp_coeffs[4],0.319,0.856,-1.317,1.891,0.013,0.022,4565.0,1502.0,1.0
I_0_hsgp_coeffs[5],-0.288,0.787,-1.832,1.126,0.013,0.018,3456.0,1421.0,1.0
I_0_hsgp_coeffs[6],-0.311,0.907,-2.069,1.337,0.013,0.021,4775.0,1463.0,1.0
I_0_hsgp_coeffs[7],0.418,0.859,-1.129,2.06,0.014,0.021,3939.0,1403.0,1.0
